('ArchivoPruebaHIDS_28.txt', '67949ad1327f500f8f24a9d6548a04295b20d6c48a8187faa99b9b8f8920b84a', 'eb5bfe608033f0a7aeeb60ed144db7e2d0f76e900ef7b29f5f107a233cd33b10', 'SHA256')
('ArchivoPruebaHIDS_29.txt', '3154cc078a597bd1571409ebc0feb37ba8694aed', '8622bd7d643083c1dfb274201632f1b7a4695930', 'SHA1')
('ArchivoPruebaHIDS_30.txt', '3f563521ffbad54577409fb3b82a98fb53de5543529a6694ec56aab075a523f1', '788300da30a1843362636554a24331713ced6ea51012b6d4d1a705736408a4a7', 'SHA256')
('ArchivoPruebaHIDS_31.txt', '6d32623013a8c4609dd74cb99e28160caff232d46f58e7e7cff9ed6d85190506', '8d8652517f236dcd64fda974958b67e0ac5452e35c7da5f3824258cb158152db', 'SHA256')
('ArchivoPruebaHIDS_32.txt', 'a41e92449087d057ee2db623832322af1dd73ecbf7a1b9d178381875035cb264', '79698c650f8aeb35bedd4f5b83245092d77cf4009e617bfcd29443de2f603028', 'SHA256')
('ArchivoPruebaHIDS_33.txt', '0d792bcd3c6c1440bb5276fc232e000dd7069c57', '0b8ceb55910fadabb6ae307cd13d0e9635aa9178', 'SHA1')
('ArchivoPruebaHIDS_34.txt', '866e07480811871d26ea07ea6e567a23f593e6f1', '56b6deb7b68df67635fb303be53bc50eebffe41f', 'SHA1')
('ArchivoPruebaHIDS_35.txt', 'ed1987dbfc3da9d2c4bedd988c0cfc28bd1b5a58a90149789036f2efec754353', '76dedf2f86e9ba6c1d724ccc3800db8b3fb6da17506a0adff932c47cf4ffa78f', 'SHA256')
('ArchivoPruebaHIDS_36.txt', 'cc073eea19571bef78edd04282e08af050732d9ebb3f7bc6b97b73d5126ca676', '71d9313e04068184cfa18408904a28c26dd9efd2eab16ec00655132c182bf57a', 'SHA256')
('ArchivoPruebaHIDS_37.txt', '008b4464c26143f7e9668829039dfb0973beb0dd84128e01f9d1c2dd9f272219', 'eb1f0539bafa71b03227e0871b7ecfb9edc30024038eb28c263982e3f8ee4dc7', 'SHA256')
('ArchivoPruebaHIDS_38.txt', '5c25ee84e26f1764dbda8bfedf5a426943eafada', '195e291385df8b60e71bb8e7c960a733b5da8342', 'SHA1')
('ArchivoPruebaHIDS_39.txt', '09240c0ae6baa339d60c41b12e8a3a65ff24d9fb', '0d1e256ab2ad8f499babfd5a93a650c8c9a1441b', 'SHA1')
('ArchivoPruebaHIDS_40.txt', '176199e21b4efa5fca1f1688ae5ac34ed876d925750e88e445ce19b2bd8528af', '84fe7f412e158ce2f114a88df003c868020e52405e871328d4088b54a64169b4', 'SHA256')
('ArchivoPruebaHIDS_41.txt', '7585b7da72a9fb3b10087a96678d9116e6431b6d', 'eaf5a4d55b2f04ddba7e992375a07576609ac068', 'SHA1')
('ArchivoPruebaHIDS_42.txt', '5fd438bea03e9db2d85841354bae00aa84cf0a1f4320f56ec934932882154618', '2e06aeb64fdf06a336af9e0f4b455940fe71d906d9e2c4c720b0b504ac12e668', 'SHA256')
('ArchivoPruebaHIDS_43.txt', '8692e573e2b6a9399de9ab0365ef66000abf9d69', 'bb81e0a0abc14e3792aeae85ca63c4869c4b5049', 'SHA1')
('ArchivoPruebaHIDS_44.txt', 'c4d18d2de4ff97d9adfeb825a598d9833fc4bdcb', 'f707bd9d322e5a1d0c9a6b661de87f4412783e70', 'SHA1')
('ArchivoPruebaHIDS_45.txt', '1527813f869b796457cce99a071b55df37d0d1e2', 'e61821db88eb1b9cde58902b2b795360c88bff57', 'SHA1')
('ArchivoPruebaHIDS_46.txt', '925ae8b38cf0f979456da703d1ad6f039d95ca27176538ea8d121ad7b6df3893', '1b22a33da403a6b6af793bb15c3a7808db8023996bb097b058e248dba62ae983', 'SHA256')
('ArchivoPruebaHIDS_47.txt', '1c183654d3ef128886e558e0da0349a1556aa1dfb3857d9feeb8836aa3d3c5fe', '1a6e5eacc37d698bc9294256688281b4faddb1cda20adcc90e8cefa519f63d15', 'SHA256')
('ArchivoPruebaHIDS_48.txt', '9e81d8d0694a4fb5fa05d9930f7f4856999d6eca', '6461c77899aafa29ed0404fb9dad2c2e049d3d4d', 'SHA1')
('ArchivoPruebaHIDS_49.txt', 'f4b369c8b09d69ef5574fe5d3de3b63e3e2afa5baf861020e843501ad37e0522', '42bc8bdbe5e70167b540794ebaa281cd7510ca754cb71d2fc5eff50d9ace475d', 'SHA256')
('ArchivoPruebaHIDS_50.txt', '334bf27dad37345790ddcdcfabe5e9aedf15f71e9edf9c64702e07f6b0e498a2', '4f2229c16f040826491f8982b08ac5b164e27c30df2fd25280216c1de497e955', 'SHA256')
('ArchivoPruebaHIDS_51.txt', 'f5048add356518466927618aa6d770f3508e9e6de5ac0d4eea19bcb9368937f2', 'b0bdfb33fbe8ffe76c2f64b01def21c9334ccff607305f34f55a7ee2e6cdedf4', 'SHA256')
('ArchivoPruebaHIDS_52.txt', '787040f76431a69de1e0a2d536622b7f12f9a074', '25d4dc97d6e93dc9080f83a6ef780183e6ebd6ab', 'SHA1')
('ArchivoPruebaHIDS_53.txt', 'a7cf28827450cc939c4733d506e0ba1aa10ee24e', '3b6a8e715744779829361ff0a2cf4d2595ba0927', 'SHA1')
('ArchivoPruebaHIDS_54.txt', '561d4425226a3301cd0724f1a84ff8a7d55b26d3', 'f7dfd23ad1a0d504be0b41424e45831937ce679a', 'SHA1')
('ArchivoPruebaHIDS_55.txt', '47dc80985f9d36ce406f25338da90ac4b3a8478f5a2d904c498fd69babad1ce9', '950e39b91bdc114eb6d7861236dac41a4607f979504643b35f297f556ce8c67c', 'SHA256')
('ArchivoPruebaHIDS_56.txt', '3a8ddb263ef6a01023ac1bd56e67cd3a78e9b9f2', 'b01f07462b005369e9b0aedd669325bb36d8a57d', 'SHA1')
('ArchivoPruebaHIDS_57.txt', '117a46274bb4927de08cb23cbb5c57f480b908d121babc13230f3d01a115ceb4', '5438613b4e7e51750d58d2bac7825a40e0a81675c822c90616ffca6e6d89f4d4', 'SHA256')
('ArchivoPruebaHIDS_58.txt', '0042c82a5f92a0109fd2521df4cb7329a3b5961dbaa088dd7f24b017e09f0525', '71caebe63754d0c52921c5b2e0d143466695f583e719fd28c9b6bc31017e3d9a', 'SHA256')
('ArchivoPruebaHIDS_59.txt', 'e6557fbbe3f36320459aadaa3a6a45ca6e4bcf86a954d6999e028d0455358d1e', 'f24bb711c95d56857c4c44c9041ed73b6c730a4ee75f7d0e5821a1c693ff3df0', 'SHA256')
('ArchivoPruebaHIDS_60.txt', 'ade16a38d0b2f7c4be2a39a64d6d7251e4a5ddcf784cd7d14b4e0cb12fe9e33b', '6bb037278951979faa8db29f4b5921865aad39b0669a2d31f6e0601159e36e5e', 'SHA256')
('ArchivoPruebaHIDS_61.txt', '86a89343a54e922985d753645b77b2066a8573b812f3e89cd6350b24d23b6175', '44c9181f5fa05c3b4771f25f0a07affe1da25234e722a8b9d4df198c86fc6f95', 'SHA256')
('ArchivoPruebaHIDS_62.txt', '15ee0be2292903d10fb156d15f42354750057baa', 'f03cf8b245a3679917da40821a0e3e885cbdef3d', 'SHA1')
('ArchivoPruebaHIDS_63.txt', 'bac8ee48588e661e4c4b036fe232325dc1e54f88', '49a6a4aa6851d74ab4eac1faf3b458c5a7cbea4e', 'SHA1')
('ArchivoPruebaHIDS_64.txt', '40605532558021100f7da21ea566789b96a603a23ba05f18541982aa0d33d312', '58c93c9a01bc670ec922bd9e865f923932e92c79da40f71ae078f3d63f11dcc4', 'SHA256')
('ArchivoPruebaHIDS_65.txt', '6593e0d83540200fab3249596582a18eae20ee06', 'ac271fa5c46a4e6937083be8d72e4dd961059e81', 'SHA1')
('ArchivoPruebaHIDS_66.txt', 'fe0aa0e6809f670b527966fe301f40a5552cbf2b', '6e87a25d020ecf540480df61f3f53d3e265c985e', 'SHA1')
('ArchivoPruebaHIDS_67.txt', 'f0ff4862be42e76d8c566ff3c0f28f315e69041b3c0cb89c22579a522d797ff9', '0c74943c0e4bcac2b7ba30bdadf99d367e1ab95026af786cb7a08947a0dce16f', 'SHA256')
('ArchivoPruebaHIDS_68.txt', 'ab7dd269c2d6865a8e00ceda01ba84b63b32c1d2', '08f78dba62d97da71146caf5e6e4f366da3962b2', 'SHA1')
('ArchivoPruebaHIDS_69.txt', '8198c6659c40c63a06ca5d88e8f3fe1ecc954e43376913e165d0ab9a6ce1bc5c', 'bb08020e305ff3ab518bc48dd7d513ab8008351d3b5796e8a737c52ec7175372', 'SHA256')
('ArchivoPruebaHIDS_70.txt', '7cd7cb8536dbae7d98a8a1c0804aed76f7c1115ae5c9e2101687f2c371bdb062', '69f6431eaba4b35e1d8656b9d4e8eccafb422dc55c6a80260c94c2690d7e3fd1', 'SHA256')
('ArchivoPruebaHIDS_71.txt', '1148f66fe2e3fa9bd8603f4e4f7d143f841e4e738c535176153d30ee972b39c2', 'e6cee700f9f457d652b4c66dd3e23339846ee6eacf20ca43615440a80bd9f1c0', 'SHA256')
('ArchivoPruebaHIDS_72.txt', '40823855560b9befb6230c21d0e14a590541f53a8afba3c62f82d5cce115c1a2', '5d4f4341755283aa9eefae44ec8c41d242e19646f0247bceb4130cc94d687e7e', 'SHA256')
